label_id,label_type,name,name_type,name_source
169,species,carrew1,ml_species_code,SpeciesMapping_11
170,species,Acrocephalus taiti,scientific,SpeciesMapping_11
170,species,Henderson Island Reed Warbler,common_en,SpeciesMapping_11
170,species,hirwar1,ml_species_code,SpeciesMapping_11
171,species,Acrocephalus tangorum,scientific,SpeciesMapping_11
171,species,Manchurian Reed Warbler,common_en,SpeciesMapping_11
171,species,manrew1,ml_species_code,SpeciesMapping_11
172,species,Acrocephalus vaughani,scientific,SpeciesMapping_11
172,species,Pitcairn Reed Warbler,common_en,SpeciesMapping_11
172,species,pirwar2,ml_species_code,SpeciesMapping_11
175,species,Asian tapir,common_en,SpeciesMapping_11
175,species,Tapirus indicus,scientific,SpeciesMapping_11
175,species,t-11077291,ml_species_code,SpeciesMapping_11
176,species,Acrodectes philopagus,scientific,SpeciesMapping_11
177,species,Acrometopa cretensis,scientific,SpeciesMapping_11
178,species,Acrometopa italica,scientific,SpeciesMapping_11
179,species,Acrometopa macropoda,scientific,SpeciesMapping_11
180,species,Acrometopa servillea,scientific,SpeciesMapping_11
181,species,Acrometopa syriaca,scientific,SpeciesMapping_11
182,species,Acropternis orthonyx,scientific,SpeciesMapping_11
182,species,Ocellated Tapaculo,common_en,SpeciesMapping_11
182,species,ocetap1,ml_species_code,SpeciesMapping_11
183,species,Acryllium vulturinum,scientific,SpeciesMapping_11
183,species,Vulturine Guineafowl,common_en,SpeciesMapping_11
183,species,vulgui1,ml_species_code,SpeciesMapping_11
184,species,Actenoides bougainvillei,scientific,SpeciesMapping_11
184,species,Moustached Kingfisher,common_en,SpeciesMapping_11
184,species,moukin2,ml_species_code,SpeciesMapping_11
185,species,Actenoides concretus,scientific,SpeciesMapping_11
185,species,Rufous-collared Kingfisher,common_en,SpeciesMapping_11
185,species,ruckin1,ml_species_code,SpeciesMapping_11
186,species,Actenoides hombroni,scientific,SpeciesMapping_11
186,species,Blue-capped Kingfisher,common_en,SpeciesMapping_11
186,species,blckin2,ml_species_code,SpeciesMapping_11
